doi,url,status,venue,year
10.1109/TVT.2021.3076843,https://ieeexplore.ieee.org/ielx7/25/9477511/09420303.pdf,HYBRID,IEEE Transactions on Vehicular Technology,2020
10.3390/nano8070530,https://www.mdpi.com/2079-4991/8/7/530/pdf?version=1531542411,GOLD,Nanomaterials,2018
10.1002/anie.201104407,,CLOSED,Angewandte Chemie,2011
10.1016/j.chemosphere.2014.11.071,,CLOSED,Chemosphere,2015
10.4161/bioa.24062,https://www.tandfonline.com/doi/pdf/10.4161/bioa.24062?needAccess=true,BRONZE,BioArchitecture,2013
10.1186/s12985-017-0778-5,https://virologyj.biomedcentral.com/track/pdf/10.1186/s12985-017-0778-5,GOLD,Virology Journal,2017
10.1146/annurev-micro-092412-155715,,CLOSED,Annual Review of Microbiology,2015
10.1016/j.coi.2016.10.005,https://europepmc.org/articles/pmc5426986?pdf=render,GREEN,Current Opinion in Immunology,2017
10.1080/15376516.2018.1558321,,CLOSED,Toxicology Mechanisms and Methods,2019
10.2147/IJN.S13904,https://www.dovepress.com/getfile.php?fileID=8109,GOLD,International Journal of Nanomedicine,2010
10.1097/PAT.0b013e32834ab72d,,CLOSED,Pathology (Sydney),2011
10.1096/fj.201800448R,,CLOSED,The FASEB Journal,2018
10.1016/j.freeradbiomed.2010.10.704,https://europepmc.org/articles/pmc3116013?pdf=render,GREEN,Free Radical Biology & Medicine,2011
10.1007/s10928-008-9105-5,,CLOSED,Journal of Pharmacokinetics and Pharmacodynamics,2008
10.1007/978-3-319-46681-1_26,,CLOSED,International Conference on Neural Information Processing,2016
10.1103/PhysRevLett.126.071102,http://link.aps.org/pdf/10.1103/PhysRevLett.126.071102,HYBRID,Physical Review Letters,2020
10.1039/c8fd00225h,https://repository.ubn.ru.nl/bitstream/handle/2066/206122/3/206122.pdf,GREEN,Faraday discussions,2019
10.3748/wjg.v24.i43.4950,,CLOSED,World Journal of Gastroenterology,2018
10.1097/01.mph.0000438028.87141.8c,,CLOSED,Journal of pediatric hematology/oncology,2014
10.1111/j.1537-2995.2010.02752.x,,CLOSED,Transfusion,2010
10.1055/s-0029-1245789,,CLOSED,RöFo. Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden Verfahren (Print),2010
10.1186/s13063-018-2802-5,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-018-2802-5,GOLD,Trials,2018
10.1161/CIRCULATIONAHA.110.991869,https://www.ahajournals.org/doi/pdf/10.1161/CIRCULATIONAHA.110.991869,BRONZE,Circulation,2011
10.1186/s40064-016-1720-9,https://springerplus.springeropen.com/track/pdf/10.1186/s40064-016-1720-9,GOLD,SpringerPlus,2016
10.1016/j.oraloncology.2010.03.008,,CLOSED,Oral Oncology,2010
10.1002/ca.21215,,CLOSED,"Clinical anatomy (New York, N.Y. Print)",2012
10.1007/s00268-011-1031-9,,CLOSED,World Journal of Surgery,2011
10.1113/JP273705,https://physoc.onlinelibrary.wiley.com/doi/pdfdirect/10.1113/JP273705,BRONZE,Journal of Physiology,2017
10.1111/jocn.14371,https://comum.rcaap.pt/bitstream/10400.26/33302/1/artigo%20afiliado-mm17.pdf,GREEN,Journal of Clinical Nursing,2018
10.4103/0019-5049.177879,,CLOSED,Indian Journal of Anaesthesia,2016
10.1097/BPO.0000000000000288,,CLOSED,Journal of pediatric orthopedics,2014
10.1053/j.jfas.2014.01.004,,CLOSED,Journal of Foot and Ankle Surgery,2014
10.1111/j.1532-5415.2009.02563.x,,CLOSED,Journal of The American Geriatrics Society,2009
10.1002/mds.27131,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mds.27131,HYBRID,Movement Disorders,2017
10.1037/ccp0000334,,CLOSED,Journal of Consulting and Clinical Psychology,2018
10.1177/0361198118773557,,CLOSED,,2018
10.1142/S0218127411028349,,CLOSED,International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,2011
10.1177/0731684415571659,,CLOSED,,2015
10.1016/J.ENTCS.2015.12.015,,CLOSED,Mathematical Foundations of Programming Semantics,2015
10.1016/j.medengphy.2017.01.015,,CLOSED,Medical Engineering and Physics,2017
10.1016/j.csda.2017.02.013,http://diposit.ub.edu/dspace/bitstream/2445/108966/1/670360.pdf,GREEN,Computational Statistics & Data Analysis,2017
10.2334/josnusd.19-0221,https://www.jstage.jst.go.jp/article/josnusd/62/3/62_19-0221/_pdf,GOLD,Journal of Oral Science,2020
10.29012/JPC.V3I2.604,https://journalprivacyconfidentiality.org/index.php/jpc/article/download/604/587,GOLD,Journal of Privacy and Confidentiality,2011
10.1371/journal.pone.0110723,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0110723&type=printable,GOLD,PLoS ONE,2014
10.1007/s10745-016-9859-0,https://europepmc.org/articles/pmc5400366?pdf=render,GREEN,Human Ecology,2016
10.1073/pnas.0912376107,https://europepmc.org/articles/pmc2840472?pdf=render,GREEN,Proceedings of the National Academy of Sciences of the United States of America,2010
10.1016/j.jcyt.2013.02.013,,CLOSED,Cytotherapy,2013
10.23736/S0026-4806.17.04703-6,,CLOSED,Minerva Medica,2017
10.1177/154405910808701102,,CLOSED,Journal of dentistry research,2008
10.1007/s11604-012-0116-1,,CLOSED,Japanese Journal of Radiology,2012
10.15252/embr.201642140,https://europepmc.org/articles/pmc5376972?pdf=render,GREEN,EMBO Reports,2017
10.1080/09540260902782828,,CLOSED,International Review of Psychiatry,2009
10.1007/s42399-020-00409-7,https://link.springer.com/content/pdf/10.1007/s42399-020-00409-7.pdf,BRONZE,SN Comprehensive Clinical Medicine,2020
10.1186/2050-6511-14-32,https://bmcpharmacoltoxicol.biomedcentral.com/counter/pdf/10.1186/2050-6511-14-32,GOLD,BMC Pharmacology and Toxicology,2013
10.1016/j.eswa.2009.11.057,,CLOSED,Expert systems with applications,2010
10.1007/s10384-012-0155-2,,CLOSED,Japanese Journal of Ophthalmology,2012
10.3760/cma.j.issn.0255-7053.2017.05.007,,CLOSED,Zhonghua yi shi za zhi,2017
10.1002/cncr.27595,,CLOSED,Cancer,2012
10.25270/OWM.2018.12.3035,,CLOSED,Ostomy/Wound Management,2018
10.3109/13561820.2015.1123233,,CLOSED,Journal of Interprofessional Care,2016
10.1177/0363546514557939,,CLOSED,American Journal of Sports Medicine,2015
10.1186/1471-2458-12-865,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/1471-2458-12-865,GOLD,BMC Public Health,2012
10.1186/s12937-018-0318-1,https://nutritionj.biomedcentral.com/track/pdf/10.1186/s12937-018-0318-1,GOLD,Nutrix Journal,2018
10.1093/geronb/gbaa187,https://academic.oup.com/psychsocgerontology/article-pdf/76/7/e281/39728809/gbaa187.pdf,BRONZE,"The journals of gerontology. Series B, Psychological sciences and social sciences",2020
10.1111/1475-6773.12822,https://europepmc.org/articles/pmc6056601?pdf=render,GREEN,Health Services Research,2018
10.1111/j.1475-6773.2008.00943.x,https://europepmc.org/articles/pmc2699918?pdf=render,GREEN,Health Services Research,2009
10.3758/s13415-018-0572-x,https://link.springer.com/content/pdf/10.3758/s13415-018-0572-x.pdf,HYBRID,"Cognitive, Affective, & Behavioral Neuroscience",2018
10.35552/0247-025-005-002,https://journals.najah.edu//media/journals/full_texts/educational-crises-management-secondary-public-schools-northern-palestine-perceived-principals.pdf,BRONZE,An-Najah University Journal for Research - B (Humanities),2011
10.1177/0265378814558446,,CLOSED,,2015
10.3758/s13428-018-1128-2,https://link.springer.com/content/pdf/10.3758/s13428-018-1128-2.pdf,BRONZE,Behavior Research Methods,2018
10.1165/rcmb.586vi,https://www.atsjournals.org/doi/pdf/10.1165/rcmb.586vi,BRONZE,American Journal of Respiratory Cell and Molecular Biology,2018
10.1155/2020/8839791,,CLOSED,Applied Bionics and Biomechanics,2020
10.1007/978-3-030-20671-0_26,https://hal.inria.fr/hal-02294711/file/484827_1_En_26_Chapter.pdf,GREEN,TDIT,2019
10.1109/ICPP.2009.8,,CLOSED,International Conference on Parallel Processing,2009
10.1109/SANER.2017.7884617,https://www.zora.uzh.ch/id/eprint/140446/1/alexandru-panichella-gall_code-analysis_saner17.pdf,GREEN,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",2017
10.1016/j.jbi.2022.104013,http://arxiv.org/pdf/2007.12870,GREEN,Journal of Biomedical Informatics,2020
10.1007/978-3-642-38082-2_35,https://link.springer.com/content/pdf/10.1007/978-3-642-38082-2_35.pdf,BRONZE,Future Internet Assembly,2013
10.1016/j.gene.2007.12.013,,CLOSED,Gene,2008
10.1002/dvdy.23749,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/dvdy.23749,BRONZE,Developmental Dynamics,2012
10.1128/JB.06715-11,https://jb.asm.org/content/jb/194/6/1615.full.pdf,BRONZE,Journal of Bacteriology,2012
10.3389/fnsyn.2014.00012,https://www.frontiersin.org/articles/10.3389/fnsyn.2014.00012/pdf,GOLD,Frontiers in Synaptic Neuroscience,2014
10.5495/WJCID.V3.I3.37,,CLOSED,World Journal of Clinical Infectious Diseases,2013
10.1159/000373922,https://www.karger.com/Article/Pdf/373922,BRONZE,Intervirology,2015
10.1007/s00403-009-1013-z,,CLOSED,Archives of Dermatological Research,2010
10.1016/j.ijbiomac.2019.02.156,,CLOSED,International Journal of Biological Macromolecules,2019
10.1016/j.nbt.2015.02.004,https://lirias.kuleuven.be/bitstream/123456789/485191/1/Perez%20Ruiz%20et%20al-%20accepted%20manuscript.pdf,GREEN,New Biotechnology,2015
10.1016/j.jneumeth.2016.01.020,,CLOSED,Journal of Neuroscience Methods,2016
10.1016/j.dadm.2018.02.005,http://www.dadm.alzdem.com/article/S2352872918300137/pdf,GOLD,Alzheimer's & Dementia,2018
10.1177/0096144209336528,,CLOSED,,2009
10.1364/OL.39.005885,http://olab.physics.sjtu.edu.cn/papers/2014/16%20XHZhao_OL_2014.pdf,GREEN,Optics Letters,2014
10.1587/TRANSFUN.E92.A.2385,,CLOSED,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,2009
10.4108/ICST.CROWNCOM.2014.255380,http://eudl.eu/pdf/10.4108/icst.crowncom.2014.255380,BRONZE,International Conference on Cognitive Radio Oriented Wireless Networks and Communications,2014
10.1136/openhrt-2017-000765,https://openheart.bmj.com/content/openhrt/5/2/e000765.full.pdf,GOLD,Open Heart,2018
10.3109/10428191003715377,,CLOSED,Leukemia and Lymphoma,2010
10.4274/tjps.28291,,CLOSED,Turkish Journal of Pharmaceutical Sciences,2017
10.1086/593104,https://academic.oup.com/cid/article-pdf/47/11/1479/793856/47-11-1479.pdf,BRONZE,Clinical Infectious Diseases,2008
10.1016/j.urology.2018.06.015,,CLOSED,Urology,2018
10.1542/neo.21-12-e831,,CLOSED,NeoReviews,2020
10.1007/s11325-014-1029-2,,CLOSED,Sleep and Breathing,2015
10.1016/j.annepidem.2018.03.012,,CLOSED,Annals of Epidemiology,2018
10.1007/s00784-019-03165-8,,CLOSED,Clinical Oral Investigations,2019
10.1111/j.1532-5415.2008.01770.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1532-5415.2008.01770.x,BRONZE,Journal of The American Geriatrics Society,2008
10.1111/j.1745-7254.2008.00776.x,https://www.nature.com/articles/aps200874.pdf,BRONZE,Acta Pharmacologica Sinica,2008
10.3109/07420528.2012.675850,,CLOSED,Chronobiology International,2012
10.1097/acm.0000000000003545,,CLOSED,Academic medicine : journal of the Association of American Medical Colleges,2020
10.1109/CCA.2009.5281124,,CLOSED,"2009 IEEE Control Applications, (CCA) & Intelligent Control, (ISIC)",2009
10.1007/978-3-642-12535-5_11,,CLOSED,Large-Scale Scientific Computing,2009
10.1109/ACCESS.2019.2894841,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08624510.pdf,GOLD,IEEE Access,2019
10.1145/2835776.2835786,,CLOSED,Web Search and Data Mining,2016
10.3390/ma11040548,https://www.mdpi.com/1996-1944/11/4/548/pdf?version=1525346902,GOLD,Materials,2018
10.3390/ma12213565,https://www.mdpi.com/1996-1944/12/21/3565/pdf,GOLD,Materials,2019
10.1177/1746197919886877,,CLOSED,,2019
10.1134/S106235900905015X,,CLOSED,Biology Bulletin,2009
10.1039/c2an35091b,https://qspace.library.queensu.ca/bitstream/1974/14120/1/Omrani%20_et_al_2012_Fluorescence_%20excitation.pdf,GREEN,In Analysis,2012
10.3791/59562,,CLOSED,Journal of Visualized Experiments,2020
10.1039/c4fo00204k,,CLOSED,Food & Function,2014
10.14670/HH-18-236,,CLOSED,Histology and Histopathology,2020
10.1016/j.bbadis.2019.01.024,,CLOSED,Biochimica et Biophysica Acta - Molecular Basis of Disease,2019
10.1038/s41467-020-16086-y,https://www.nature.com/articles/s41467-020-16086-y.pdf,GOLD,Nature Communications,2020
10.1080/08860220902882741,,CLOSED,Renal Failure,2009
10.18632/oncotarget.11761,http://www.oncotarget.com/index.php?journal=oncotarget&page=article&op=download&path%5B%5D=11761&path%5B%5D=37198,GOLD,OncoTarget,2016
10.1186/1472-6807-12-8,https://bmcstructbiol.biomedcentral.com/counter/pdf/10.1186/1472-6807-12-8,HYBRID,BMC Structural Biology,2012
10.1016/j.ejps.2018.08.012,,CLOSED,European Journal of Pharmaceutical Sciences,2018
10.1111/J.1399-3011.1981.TB02050.X,,CLOSED,International journal of peptide & protein research,2009
10.1016/j.neuroimage.2010.02.074,https://hal.archives-ouvertes.fr/hal-02155709/file/2010BDelatour_Detection%20by%20voxel.pdf,GREEN,NeuroImage,2010
10.1145/3170427.3188658,https://ir.cwi.nl/pub/27939/27939.pdf,GREEN,CHI Extended Abstracts,2018
10.1016/j.clinbiomech.2019.06.011,,CLOSED,Clinical Biomechanics,2019
10.1542/peds.2016-0088,,CLOSED,Pediatrics,2017
10.1159/000193996,https://www.karger.com/Article/Pdf/193996,BRONZE,Gerontology,2009
10.1007/s00467-019-04307-6,https://link.springer.com/content/pdf/10.1007/s00467-019-04307-6.pdf,BRONZE,"Pediatric nephrology (Berlin, West)",2019
10.1093/ecco-jcc/jjx002.476,https://academic.oup.com/ecco-jcc/article-pdf/11/suppl_1/S255/10450340/jjx002.476.pdf,BRONZE,Journal of Crohn's & Colitis,2017
10.1016/j.ekir.2016.03.002,http://www.kireports.org/article/S2468024916300018/pdf,GOLD,Kidney International Reports,2016
10.1177/0025802420939268,,CLOSED,"Medicine, Science and the Law",2020
10.4103/0970-0358.41125,,CLOSED,Indian Journal of Plastic Surgery,2008
10.1016/j.oooo.2014.07.010,,CLOSED,"Oral surgery, oral medicine, oral pathology and oral radiology",2014
10.1021/ja9048509,,CLOSED,Journal of the American Chemical Society,2009
10.1007/s10586-017-1281-x,,CLOSED,Cluster Computing,2017
10.1073/pnas.1519853113,https://europepmc.org/articles/pmc4995964?pdf=render,GREEN,Proceedings of the National Academy of Sciences of the United States of America,2016
10.1098/rstb.2019.0726,,CLOSED,Philosophical Transactions of the Royal Society of London. Biological Sciences,2020
10.1016/j.eatbeh.2015.05.001,,CLOSED,Eating Behaviors,2015
10.1038/s41598-020-78251-z,https://www.nature.com/articles/s41598-020-78251-z.pdf,GOLD,Scientific Reports,2020
10.1109/HICSS.2009.879,,CLOSED,Hawaii International Conference on System Sciences,2009
10.1007/S12243-010-0183-1,,CLOSED,Ann. des Télécommunications,2010
10.15607/RSS.2020.XVI.035,https://doi.org/10.15607/rss.2020.xvi.035,BRONZE,Robotics: Science and Systems,2020
10.1177/2397791417744706,,CLOSED,,2017
10.1136/vr.k3727,,CLOSED,The Veterinary Record,2018
10.1016/j.foodres.2020.109555,,CLOSED,Food Research International,2020
10.1109/IGARSS.2017.8128140,,CLOSED,IEEE International Geoscience and Remote Sensing Symposium,2017
10.1016/j.jtbi.2014.07.028,http://minerva-access.unimelb.edu.au/bitstreams/2324efed-484a-53d5-b266-521045a716ae/download,GREEN,Journal of Theoretical Biology,2014
10.1016/j.meegid.2016.02.027,https://ri.conicet.gov.ar/bitstream/11336/42382/2/CONICET_Digital_Nro.52573453-75d7-47c4-a128-3d62fcd50ba8_A.pdf,GREEN,"Infection, Genetics and Evolution",2016
10.1002/anie.201000826,,CLOSED,Angewandte Chemie,2011
10.1002/cphc.201700417,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cphc.201700417,BRONZE,ChemPhysChem,2017
10.1103/PHYSREVE.86.056104,https://link.aps.org/accepted/10.1103/PhysRevE.86.056104,HYBRID,"Physical review. E, Statistical, nonlinear, and soft matter physics",2012
10.1109/CCECE.2012.6334891,,CLOSED,Canadian Conference on Electrical and Computer Engineering,2012
10.1002/cam4.3340,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cam4.3340,GOLD,Cancer Medicine,2020
10.1016/j.wjorl.2019.04.002,,CLOSED,World journal of otorhinolaryngology - head and neck surgery,2020
10.1542/peds.2012-2963,,CLOSED,Pediatrics,2014
10.1136/bcr.10.2008.1146,,CLOSED,BMJ Case Reports,2009
10.20471/acc.2019.58.04.14,https://hrcak.srce.hr/file/341782,GOLD,Acta Clinica Croatica,2019
10.1007/s00296-016-3588-y,https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/68387/1/Rheumatol%20Int_37%282%29_189-195.pdf,GREEN,Rheumatology International,2017
10.1016/j.tjog.2020.01.033,,CLOSED,Taiwanese Journal of Obstetrics & Gynecology,2020
10.1111/iep.12292,,CLOSED,International journal of experimental pathology (Print),2018
10.1016/j.jval.2014.08.2550,http://www.valueinhealthjournal.com/article/S1098301514044805/pdf,BRONZE,Value in Health,2014
10.1016/j.hcl.2016.12.002,,CLOSED,Hand Clinics,2017
10.1186/s12931-018-0767-2,https://respiratory-research.biomedcentral.com/track/pdf/10.1186/s12931-018-0767-2,GOLD,Respiratory Research,2018
10.1038/jp.2010.7,,CLOSED,Journal of Perinatology,2010
10.1016/j.pec.2016.08.004,,CLOSED,Patient Education and Counseling,2016
10.4103/njms.NJMS_92_18,https://europepmc.org/articles/pmc6883888?pdf=render,GREEN,National Journal of Maxillofacial Surgery,2019
10.3390/ijerph17082751,https://www.mdpi.com/1660-4601/17/8/2751/pdf?version=1607430041,GOLD,International Journal of Environmental Research and Public Health,2020
10.3906/sag-1912-196,https://doi.org/10.3906/sag-1912-196,BRONZE,Turkish Journal of Medical Sciences,2020
10.1258/jtt.2008.080101,,CLOSED,Journal of Telemedicine and Telecare,2008
10.1111/tmi.13050,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tmi.13050,BRONZE,Tropical medicine & international health,2018
10.1109/IVS.2015.7225721,,CLOSED,2015 IEEE Intelligent Vehicles Symposium (IV),2015
10.1109/IECON.2012.6389464,,CLOSED,Annual Conference of the IEEE Industrial Electronics Society,2012
10.1007/978-3-319-92459-5_15,,CLOSED,International Conference on Computer Networks,2018
10.1145/2541228.2555301,https://dl.acm.org/doi/pdf/10.1145/2541228.2555301,BRONZE,,2013
10.1109/ISWC.2011.18,,CLOSED,2011 15th Annual International Symposium on Wearable Computers,2011
10.1109/IDAACS.2019.8924340,,CLOSED,International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications,2019
10.1039/b800266e,,CLOSED,Chemical Communications,2008
10.1016/j.scitotenv.2019.135894,,CLOSED,Science of the Total Environment,2019
10.1186/1475-2859-10-96,https://microbialcellfactories.biomedcentral.com/counter/pdf/10.1186/1475-2859-10-96,GOLD,Microbial Cell Factories,2011
10.1042/BST0370605,,CLOSED,Biochemical Society Transactions,2009
10.1128/JVI.03677-13,https://europepmc.org/articles/pmc4019123?pdf=render,GREEN,Journal of Virology,2014
10.1016/j.jmoldx.2011.03.008,http://www.jmdjournal.org/article/S1525157811001152/pdf,BRONZE,Journal of Molecular Diagnostics,2011
10.2340/00015555-2326,https://www.medicaljournals.se/acta/download/10.2340/00015555-2326/,GOLD,Acta Dermato-Venereologica,2016
10.1002/ijgo.12806,,CLOSED,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2019
10.1002/adma.201605267,https://repositorio.uam.es/bitstream/10486/683116/1/dimensional_gomez_AM_2017ps.pdf,GREEN,Advances in Materials,2017
10.1118/1.4957470,,CLOSED,Medical Physics (Lancaster),2016
10.1111/echo.14661,,CLOSED,Echocardiography,2020
10.1159/000228574,,CLOSED,Digestive Diseases,2009
10.1177/0892020620907327,,CLOSED,,2020
10.1093/eurheartj/ehp603,https://europepmc.org/articles/pmc2862179?pdf=render,GREEN,European Heart Journal,2010
10.1109/TSMC.2013.2279664,https://hal.archives-ouvertes.fr/hal-01966564/file/2014%20-%20SMC%20Systems%20-%20Quinton%2C%20Catenacci%2C%20Barca%2C%20Pezzulo%20-%20The%20cat%20is%20on%20the%20mat.%20Or%20is%20it%20a%20dog.%20Dynamic%20competition%20in%20perceptual%20decision%20making.pdf,GREEN,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2014
10.1039/c0an00654h,,CLOSED,In Analysis,2011
10.1177/0309324714531123,,CLOSED,,2014
10.1103/PhysRevE.90.032142,http://arxiv.org/pdf/1407.4136,GREEN,"Physical review. E, Statistical, nonlinear, and soft matter physics",2014
10.1016/j.jfranklin.2013.11.019,,CLOSED,Journal of the Franklin Institute,2014
10.1007/978-3-642-24574-9_2,,CLOSED,ER Workshops,2011
10.1371/journal.pone.0225987,,CLOSED,PLoS ONE,2019
10.1109/TIT.2011.2110950,http://arxiv.org/pdf/0904.0308,GREEN,IEEE Transactions on Information Theory,2009
10.1007/s40820-019-0298-5,https://link.springer.com/content/pdf/10.1007/s40820-019-0298-5.pdf,GOLD,Nano-Micro Letters,2019
10.1039/c9ra10376g,https://pubs.rsc.org/en/content/articlepdf/2020/ra/c9ra10376g,GOLD,RSC Advances,2020
10.1007/s00128-011-0364-2,,CLOSED,Bulletin of Environmental Contamination and Toxicology,2011
10.1890/08-1150.1,,CLOSED,Ecology,2009
10.3390/rs9030209,https://www.mdpi.com/2072-4292/9/3/209/pdf?version=1488426466,GOLD,Remote Sensing,2017
10.4315/0362-028X-73.5.861,,CLOSED,Journal of Food Protection,2010
10.1002/JLB.3HI1217-488R,https://jlb.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/JLB.3HI1217-488R,BRONZE,Journal of Leukocyte Biology,2018
10.1016/j.taap.2013.08.018,,CLOSED,Toxicology and Applied Pharmacology,2013
10.1098/rspb.2012.1874,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2012.1874,BRONZE,Proceedings of the Royal Society B: Biological Sciences,2013
10.1073/pnas.1900968116,https://europepmc.org/articles/pmc6421408?pdf=render,GREEN,Proceedings of the National Academy of Sciences of the United States of America,2019
10.1186/s13058-017-0923-5,https://breast-cancer-research.biomedcentral.com/track/pdf/10.1186/s13058-017-0923-5,GOLD,Breast Cancer Research,2017
10.1016/j.jaci.2017.09.054,http://www.jacionline.org/article/S009167491830037X/pdf,BRONZE,Journal of Allergy and Clinical Immunology,2018
10.7555/JBR.28.20120109,https://europepmc.org/articles/pmc4197394?pdf=render,GREEN,Journal of Biomedical Research,2014
10.1021/acs.molpharmaceut.9b00483,,CLOSED,Molecular Pharmaceutics,2019
10.1016/j.bbapap.2007.12.009,,CLOSED,Biochimica et Biophysica Acta,2008
10.1021/acs.orglett.8b00180,,CLOSED,Organic Letters,2018
10.1088/1758-5090/ab0b7c,https://ro.uow.edu.au/cgi/viewcontent.cgi?article=4607&context=aiimpapers,GREEN,Biofabrication,2019
10.1016/j.osn.2010.07.003,,CLOSED,Optical Switching and Networkning Journal,2010
